ID,time,code,total,man15~19,man20~24,man25~29,man30~34,man35~39,man40~44,woman15~19,woman20~24,woman25~29,woman30~34,woman35~39,woman40~44,mztotal
20210905,2,11680,618579.1149,21905.2191,16380.8109,21250.1595,22593.6964,27149.6678,27639.2301,19518.4681,20987.1164,23230.261,24811.2592,28719.471,29596.8072,283782.1667
20210905,2,11710,712575.1043,19563.678,18039.2536,24198.1081,26790.97,32352.5311,29542.251,18952.3627,21782.8668,27828.4064,29535.8048,35071.5458,30710.3907,314368.169
20210905,2,11740,527263.7318,14859.1034,12924.4874,16748.582,17545.2426,22242.9008,21770.3096,13248.2991,15340.8176,17955.7664,19595.4664,24202.5858,22242.1351,218675.6962
20210905,3,11110,195384.3953,4794.3056,8133.5667,8744.2597,7047.5339,7556.0665,7069.2603,5029.9853,9541.2546,8268.7532,6836.4243,7599.8944,6881.8303,87503.1348
20210905,3,11140,150691.8162,2472.143,5258.9491,7137.2815,6962.8162,8254.8093,6562.0085,2632.4,6960.8602,7503.2762,7241.3481,7458.6229,5822.6965,74267.2115
20210905,3,11170,253052.9057,5296.5135,7598.924,10241.3204,11296.8868,13773.7324,11078.0839,5334.5843,9119.1112,11866.5785,12271.118,13668.352,10500.4141,122045.6191
20210905,3,11200,317370.2493,6805.3653,10727.0673,13186.8118,12345.6778,15344.2309,13216.4492,7556.0106,12769.3278,13631.5852,14029.8599,16273.0092,12778.3212,148663.7162
20210905,3,11215,355316.299,9214.8518,13826.7722,17337.6816,14721.3887,14874.9073,13116.5999,9466.8734,18103.226,18705.8789,15423.4993,15563.2076,13236.2352,173591.1219
20210905,3,11230,341317.3777,8220.034,14824.2252,15551.7345,12053.5556,14153.9023,12561.7888,9303.8004,19968.2839,14824.8909,12467.1131,13838.9687,11742.7825,159511.0799
20210905,3,11260,373874.0487,8120.5128,10440.1235,13658.4408,13580.8079,15738.1773,14279.2635,7929.379,12046.0876,14978.3708,13802.4222,15655.3775,13399.2668,153628.2297
20210905,3,11290,427272.0585,12432.9949,15475.0908,15811.4336,13147.9006,15760.5401,15140.174,12980.6514,21101.0446,15934.0303,14059.3525,17453.3249,15925.8739,185222.4116
20210905,3,11305,313747.5574,7667.1278,9363.35,10955.5232,9574.1958,11446.3124,11257.0796,7224.2553,11793.6251,11074.716,9344.8414,11385.9717,10423.1926,121510.1909
20210905,3,11320,290746.602,7540.9071,7891.651,9394.7931,8618.7358,10934.0053,9971.1815,6969.4501,9223.473,9967.5539,9043.4736,10526.4411,9740.7999,109822.4654
20210905,3,11350,529585.8123,19011.8549,18665.9973,16200.113,14655.6084,17631.9225,17959.6735,17245.8295,19446.848,16042.2522,15724.6467,18795.0159,19771.8036,211151.5655
20210905,3,11380,465361.314,12357.4372,12530.5766,15302.6102,15403.0448,18700.5838,17901.2174,12232.1889,15401.0909,17686.9455,17515.628,20805.5204,18343.0901,194179.9338
20210905,3,11410,345164.0979,8261.8709,12170.3304,14487.8536,12105.4687,14097.4714,12882.1147,10290.6666,19179.9528,16127.4558,13443.9849,15012.6964,12699.1544,160759.0206
20210905,3,11440,402066.8663,9459.2187,13551.7865,17723.5607,16898.5133,19981.5715,16830.5705,10041.9372,19781.9505,21704.7844,19684.9075,21060.3547,17210.3808,203929.5363
20210905,3,11470,392905.9191,14953.0482,10073.6135,11730.7261,11220.3964,14382.0448,14849.2974,13149.951,11488.6587,12281.3874,12129.6706,15275.5329,16902.9946,158437.3216
20210905,3,11500,545300.2104,12673.2229,13603.4473,21617.2287,23958.8865,26277.151,22483.6384,12433.5959,17857.4357,25289.7224,25055.3888,25671.2723,21509.4182,248430.4081
20210905,3,11530,380433.2564,8389.7355,9382.6053,13704.7988,15280.1097,17845.3111,16273.5304,8286.2849,11604.8322,14041.4439,14826.7511,16791.8841,14808.3343,161235.6213
20210905,3,11545,197377.5271,3606.5247,5804.1238,9861.426,9531.1192,10276.4843,8148.1329,3497.5644,6784.6345,9085.1392,8481.1572,8326.6748,6853.6246,90256.6056
20210905,3,11560,401343.2597,7888.3772,10468.8413,17778.7942,19859.4952,21548.0946,17371.976,7319.2752,13519.8553,19747.6769,19714.9503,20074.3795,15382.2473,190673.963
20210905,3,11590,393378.0568,9114.8713,14051.6004,19203.5978,16810.1679,16768.5856,14709.4055,9234.082,17506.7806,18340.6258,15922.0964,16676.9013,14643.3245,182982.0391
20210905,3,11620,494495.3695,10325.5568,21222.6775,35301.6101,28283.7519,23322.4828,18625.7501,10027.8606,25913.4634,32384.8168,22758.031,19746.8634,16051.9686,263964.833
20210905,3,11650,452845.1654,13939.1025,11734.7535,13994.3561,15321.1873,18987.3494,20586.7665,13572.9837,13763.8401,15280.1493,16687.1319,21544.3216,21742.4978,197154.4397
20210905,3,11680,617604.7042,21907.226,16297.4501,21072.5134,22467.8188,27103.8317,27511.064,19501.5618,20990.2097,23225.643,24743.8853,28714.2639,29608.3101,283143.7778
20210905,3,11710,712297.1841,19586.5589,18059.1376,24173.4146,26772.1248,32352.0274,29505.0599,18949.5174,21713.48,27830.1471,29559.0957,35066.9791,30665.3215,314232.864
20210905,3,11740,527217.8594,14844.7615,13007.0654,16779.0633,17575.666,22268.9375,21833.9221,13249.8322,15378.3299,17998.4375,19595.236,24202.2303,22253.701,218987.1827
20210905,4,11110,195139.3244,4748.1176,8116.9813,8732.6372,7006.5235,7486.8916,7064.8264,4971.9108,9585.8379,8247.7969,6843.9988,7614.0881,6885.8993,87305.5094
20210905,4,11140,150034.9311,2497.9543,5255.3703,7104.3269,6889.0344,8237.9724,6495.7121,2656.2768,6984.5902,7505.6609,7205.8522,7463.2455,5745.5708,74041.5668
20210905,4,11170,253949.1801,5383.061,7634.6021,10260.8315,11295.7663,13787.9125,11085.6488,5336.6273,9134.9373,11907.0298,12345.2924,13724.7685,10551.4613,122447.9388
20210905,4,11200,317269.7342,6764.0537,10629.6502,13130.5496,12361.6034,15374.1423,13235.3854,7621.3578,12739.5932,13616.277,14066.1057,16192.779,12725.5521,148457.0494
20210905,4,11215,355793.8247,9225.1481,13898.6512,17391.879,14746.7888,14890.5195,13054.4031,9502.7479,18099.3271,18733.8888,15416.8402,15614.4803,13303.6285,173878.3025
20210905,4,11230,341427.4968,8217.4597,14798.7364,15585.7374,12106.8497,14119.107,12568.4432,9227.1831,20009.1272,14832.9049,12446.7791,13817.902,11776.8763,159507.106
20210905,4,11260,373505.4696,8118.2553,10457.3556,13674.0332,13556.9481,15703.1578,14302.9184,7939.8773,12074.8651,14982.858,13797.5594,15654.2007,13383.6003,153645.6292
20210905,4,11290,427390.6007,12424.2932,15489.315,15834.8926,13161.7397,15722.9649,15184.4635,13019.7065,21076.3425,15907.277,14051.4772,17432.8313,15937.3214,185242.6248
20210905,4,11305,313313.2066,7684.1403,9350.4686,10939.9877,9599.9481,11433.9746,11285.2067,7217.1049,11791.9412,11071.2383,9332.7177,11419.3693,10378.3675,121504.4649
20210905,4,11320,290022.4295,7558.011,7960.1314,9432.9583,8624.317,10907.4612,9928.8163,6988.4022,9184.2735,9970.6776,9022.6455,10492.0718,9759.6824,109829.4482
20210905,4,11350,529499.9741,18971.6098,18680.6684,16218.1868,14648.9762,17544.365,17847.8052,17264.8,19464.7707,16076.1632,15745.0342,18827.2758,19832.5376,211122.1929
20210905,4,11380,464743.1542,12373.2216,12597.187,15295.7759,15390.0478,18671.6472,17833.4135,12245.2908,15353.2436,17711.7556,17550.3082,20770.7085,18347.1472,194139.7469
20210905,4,11410,344964.271,8217.5037,12166.9204,14441.7799,12166.229,14094.3987,12784.7389,10255.2657,19187.7238,16053.7313,13379.5015,14999.5148,12740.6591,160487.9668
20210905,4,11440,402898.9457,9562.3964,13490.5851,17790.1904,16856.0218,19895.0353,16798.6414,10095.4972,19826.5009,21804.317,19728.0637,21068.6712,17225.0547,204140.9751
20210905,4,11470,391017.634,14930.5951,10002.6319,11687.3732,11222.8175,14266.6172,14790.305,13102.9089,11470.7113,12248.0902,12051.9736,15156.7941,16771.6846,157702.5026
20210905,4,11500,545900.8722,12729.1717,13624.6989,21607.2022,23983.0823,26346.1061,22534.2384,12464.6477,17866.7999,25351.9832,25054.3496,25777.61,21584.6118,248924.5018
20210905,4,11530,381265.1265,8325.5014,9458.7073,13722.1596,15316.2456,17886.6212,16262.7076,8245.1133,11610.5966,14125.7715,14868.8427,16869.2859,14880.393,161571.9457
20210905,4,11545,195721.0477,3561.9423,5751.1651,9836.3754,9482.3275,10201.0169,8110.961,3463.6039,6739.8552,8997.1386,8386.0771,8233.1586,6767.9206,89531.5422
20210905,4,11560,400436.246,7860.8822,10455.6182,17775.1555,19832.4002,21541.181,17345.7042,7236.7963,13473.6847,19611.1385,19695.7374,20047.325,15408.2355,190283.8587
20210905,4,11590,392404.8185,9111.366,14064.8399,19161.5953,16719.5451,16583.3156,14657.8767,9282.1521,17481.0165,18314.1785,15868,16722.2915,14593.9988,182560.176
20210905,4,11620,494649.2622,10368.2618,21164.7809,35321.1911,28311.9275,23415.7154,18681.8526,10033.4823,25935.4399,32448.5347,22808.4333,19739.165,16068.4241,264297.2086
20210905,4,11650,453758.1341,13922.6274,11753.0292,14005.7378,15423.6046,19095.8742,20551.1144,13544.3074,13854.7017,15380.1284,16710.174,21517.3125,21721.3052,197479.9168
20210905,4,11680,617637.7722,21903.1817,16286.5348,21093.5164,22424.434,27006.9222,27375.238,19552.3218,20974.8335,23223.0199,24815.1011,28720.3421,29666.2769,283041.7224
20210905,4,11710,711839.5986,19519.9138,18098.0481,24052.1689,26752.5692,32229.2444,29436.6419,18982.9918,21748.1502,27840.8029,29514.1329,35164.5678,30659.9828,313999.2147
20210905,4,11740,526847.2417,14829.1259,12958.1522,16815.6408,17576.0508,22288.6535,21847.8282,13254.0059,15353.4938,17932.8541,19566.3738,24137.368,22176.8161,218736.3631
20210905,5,11110,195603.3423,4783.289,8100.3501,8739.515,7039.0234,7505.276,7092.7107,4961.8211,9559.2936,8208.2882,6854.2904,7606.4212,6905.3348,87355.6135
20210905,5,11140,150542.2752,2442.4641,5259.0749,7144.0192,6940.6889,8229.698,6534.8258,2663.2593,6975.8881,7522.6482,7222.5424,7507.4869,5756.376,74198.9718
20210905,5,11170,254226.1303,5325.413,7604.5367,10283.5868,11270.1502,13706.2822,11088.1131,5293.7929,9150.4452,11871.4148,12281.4831,13660.5954,10495.3803,122031.1937
20210905,5,11200,318438.7937,6801.914,10620.5066,13206.8325,12350.0141,15406.5461,13258.0614,7617.2346,12790.4139,13635.6236,14029.666,16207.0269,12834.4795,148758.3192
20210905,5,11215,354245.8658,9221.804,13804.4948,17322.6195,14737.8495,14824.9183,13051.6976,9493.1253,18010.8255,18750.0434,15404.4192,15531.7425,13211.6899,173365.2295
20210905,5,11230,340656.6696,8138.3426,14777.3668,15573.2597,12022.7115,14089.8323,12540.5483,9182.9636,19993.3629,14811.133,12394.4608,13798.2932,11751.3385,159073.6132
20210905,5,11260,371689.9425,8143.1289,10425.6442,13595.7104,13534.9259,15622.4675,14157.1148,7971.8627,12068.4315,14939.7,13752.1868,15654.3715,13405.1561,153270.7003
20210905,5,11290,425915.2269,12456.8504,15545.2715,15831.0292,13095.3272,15678.4581,15066.6045,13082.2774,21091.5359,15975.3594,14015.5937,17476.459,15869.2369,185184.0032
20210905,5,11305,311686.2589,7652.0897,9354.5274,10891.4039,9591.648,11413.3642,11224.2318,7223.8149,11787.6732,11046.0019,9345.6722,11348.1414,10367.4195,121245.9881
20210905,5,11320,289615.4655,7598.2137,7918.2071,9444.9279,8589.6145,10889.4859,9897.5675,6907.225,9220.8215,9990.3439,9013.234,10523.0809,9793.2561,109785.978
